Timestamp, Frequency, Resistance
16/12/2020 11:28:34.939830, 5009884.600, 386.810
16/12/2020 11:28:35.937806, 5009884.400, 386.810
16/12/2020 11:28:36.936928, 5009884.400, 386.800
16/12/2020 11:28:37.937162, 5009884.300, 386.800
16/12/2020 11:28:38.937543, 5009884.300, 386.790
16/12/2020 11:28:39.936424, 5009884.100, 386.790
16/12/2020 11:28:40.937527, 5009884.100, 386.780
16/12/2020 11:28:41.937033, 5009884.000, 386.770
16/12/2020 11:28:42.937157, 5009884.000, 386.770
16/12/2020 11:28:43.937098, 5009883.900, 386.760
16/12/2020 11:28:44.936762, 5009883.800, 386.760
16/12/2020 11:28:45.937021, 5009883.800, 386.750
16/12/2020 11:28:46.937598, 5009883.600, 386.750
16/12/2020 11:28:47.937169, 5009883.600, 386.740
16/12/2020 11:28:48.938006, 5009883.500, 386.740
16/12/2020 11:28:49.936315, 5009883.400, 386.740
16/12/2020 11:28:51.430120, 5009883.300, 386.740
16/12/2020 11:28:51.936879, 5009883.200, 386.730
16/12/2020 11:28:52.936324, 5009883.100, 386.720
16/12/2020 11:28:53.937543, 5009883.100, 386.720
16/12/2020 11:28:54.936493, 5009883.000, 386.720
16/12/2020 11:28:55.936577, 5009883.000, 386.710
16/12/2020 11:28:56.937443, 5009882.900, 386.700
16/12/2020 11:28:57.937025, 5009882.800, 386.700
16/12/2020 11:28:58.937237, 5009882.700, 386.690
16/12/2020 11:28:59.937446, 5009882.600, 386.680
16/12/2020 11:29:00.936346, 5009882.600, 386.680
16/12/2020 11:29:01.936629, 5009882.500, 386.680
16/12/2020 11:29:02.936717, 5009882.400, 386.670
16/12/2020 11:29:03.936563, 5009882.300, 386.670
16/12/2020 11:29:04.936815, 5009882.300, 386.670
16/12/2020 11:29:05.936827, 5009882.100, 386.670
16/12/2020 11:29:06.936970, 5009882.100, 386.660
16/12/2020 11:29:07.937443, 5009882.000, 386.650
16/12/2020 11:29:08.937821, 5009882.000, 386.650
16/12/2020 11:29:09.936875, 5009881.900, 386.640
16/12/2020 11:29:10.936938, 5009881.800, 386.630
16/12/2020 11:29:11.936699, 5009881.700, 386.630
16/12/2020 11:29:12.936207, 5009881.600, 386.620
16/12/2020 11:29:13.936336, 5009881.600, 386.620
16/12/2020 11:29:14.937250, 5009881.400, 386.620
16/12/2020 11:29:15.936742, 5009881.400, 386.610
16/12/2020 11:29:16.937187, 5009881.300, 386.610
16/12/2020 11:29:17.940368, 5009881.200, 386.600
16/12/2020 11:29:18.936362, 5009881.100, 386.600
16/12/2020 11:29:19.938493, 5009881.100, 386.600
16/12/2020 11:29:20.936055, 5009881.000, 386.600
16/12/2020 11:29:21.937196, 5009880.900, 386.590
16/12/2020 11:29:22.936797, 5009880.800, 386.580
16/12/2020 11:29:23.936752, 5009880.900, 386.570
16/12/2020 11:29:24.936760, 5009880.800, 386.570
16/12/2020 11:29:25.936966, 5009880.600, 386.560
16/12/2020 11:29:26.935811, 5009880.500, 386.560
16/12/2020 11:29:27.937018, 5009880.400, 386.550
16/12/2020 11:29:28.936070, 5009880.400, 386.550
16/12/2020 11:29:29.935923, 5009880.300, 386.550
16/12/2020 11:29:30.936117, 5009880.200, 386.540
16/12/2020 11:29:31.936013, 5009880.100, 386.540
16/12/2020 11:29:32.936546, 5009880.000, 386.540
16/12/2020 11:29:33.936427, 5009880.000, 386.530
16/12/2020 11:29:34.937061, 5009879.900, 386.530
16/12/2020 11:29:35.936624, 5009879.900, 386.520
16/12/2020 11:29:36.936336, 5009879.800, 386.520
16/12/2020 11:29:37.937943, 5009879.600, 386.510
16/12/2020 11:29:38.937132, 5009879.600, 386.520
16/12/2020 11:29:39.937653, 5009879.500, 386.510
16/12/2020 11:29:40.937210, 5009879.400, 386.510
16/12/2020 11:29:41.937039, 5009879.400, 386.500
16/12/2020 11:29:42.937466, 5009879.300, 386.490
16/12/2020 11:29:43.937566, 5009879.200, 386.490
16/12/2020 11:29:44.939135, 5009879.100, 386.490
16/12/2020 11:29:45.936719, 5009879.000, 386.490
16/12/2020 11:29:46.937729, 5009878.900, 386.490
16/12/2020 11:29:47.935727, 5009878.800, 386.490
16/12/2020 11:29:48.935985, 5009878.800, 386.480
16/12/2020 11:29:49.935798, 5009878.800, 386.480
16/12/2020 11:29:50.936397, 5009878.600, 386.460
16/12/2020 11:29:51.936593, 5009878.600, 386.460
16/12/2020 11:29:52.936696, 5009878.500, 386.460
16/12/2020 11:29:53.935457, 5009878.300, 386.460
16/12/2020 11:29:54.936026, 5009878.300, 386.450
16/12/2020 11:29:55.936445, 5009878.200, 386.450
16/12/2020 11:29:56.936525, 5009878.100, 386.460
16/12/2020 11:29:57.935636, 5009878.000, 386.460
16/12/2020 11:29:58.935670, 5009878.000, 386.450
16/12/2020 11:29:59.935820, 5009877.900, 386.440
16/12/2020 11:30:00.935405, 5009877.800, 386.440
16/12/2020 11:30:01.936498, 5009877.800, 386.440
16/12/2020 11:30:02.936571, 5009877.600, 386.440
16/12/2020 11:30:03.937303, 5009877.600, 386.440
16/12/2020 11:30:04.935286, 5009877.400, 386.440
16/12/2020 11:30:05.935746, 5009877.400, 386.440
16/12/2020 11:30:06.936474, 5009877.300, 386.430
16/12/2020 11:30:07.936848, 5009877.300, 386.430
16/12/2020 11:30:08.935446, 5009877.200, 386.430
16/12/2020 11:30:09.936530, 5009877.000, 386.430
16/12/2020 11:30:10.936596, 5009877.000, 386.420
16/12/2020 11:30:11.936084, 5009877.000, 386.420
16/12/2020 11:30:12.936893, 5009876.900, 386.420
16/12/2020 11:30:13.936753, 5009876.800, 386.420
16/12/2020 11:30:14.937157, 5009876.700, 386.420
16/12/2020 11:30:15.936781, 5009876.600, 386.420
16/12/2020 11:30:16.936283, 5009876.500, 386.420
16/12/2020 11:30:17.936261, 5009876.400, 386.420
16/12/2020 11:30:18.936421, 5009876.300, 386.410
16/12/2020 11:30:19.935600, 5009876.300, 386.410
16/12/2020 11:30:20.937119, 5009876.300, 386.400
16/12/2020 11:30:21.936197, 5009876.100, 386.390
16/12/2020 11:30:22.935528, 5009876.000, 386.400
16/12/2020 11:30:23.935478, 5009876.000, 386.390
16/12/2020 11:30:24.936204, 5009875.900, 386.390
16/12/2020 11:30:25.940262, 5009875.900, 386.390
16/12/2020 11:30:26.936203, 5009875.800, 386.390
16/12/2020 11:30:27.937125, 5009875.700, 386.390
16/12/2020 11:30:28.936283, 5009875.600, 386.390
16/12/2020 11:30:29.941609, 5009875.500, 386.400
16/12/2020 11:30:30.936062, 5009875.400, 386.400
16/12/2020 11:30:31.934953, 5009875.300, 386.400
16/12/2020 11:30:32.936591, 5009875.100, 386.410
16/12/2020 11:30:33.935068, 5009875.100, 386.400
16/12/2020 11:30:34.934943, 5009875.000, 386.410
16/12/2020 11:30:35.935691, 5009875.000, 386.400
16/12/2020 11:30:36.934893, 5009874.900, 386.400
16/12/2020 11:30:37.935043, 5009874.800, 386.400
16/12/2020 11:30:38.935163, 5009874.700, 386.410
16/12/2020 11:30:39.936263, 5009874.600, 386.410
16/12/2020 11:30:40.935187, 5009874.400, 386.410
16/12/2020 11:30:41.936321, 5009874.400, 386.400
16/12/2020 11:30:42.936442, 5009874.400, 386.400
16/12/2020 11:30:43.935136, 5009874.300, 386.400
16/12/2020 11:30:44.935207, 5009874.200, 386.400
16/12/2020 11:30:45.935961, 5009874.100, 386.410
16/12/2020 11:30:46.935080, 5009874.000, 386.410
16/12/2020 11:30:47.935131, 5009874.000, 386.410
16/12/2020 11:30:48.935038, 5009873.900, 386.410
16/12/2020 11:30:49.935435, 5009873.900, 386.410
16/12/2020 11:30:50.935870, 5009873.800, 386.410
16/12/2020 11:30:51.935503, 5009873.700, 386.420
16/12/2020 11:30:52.940385, 5009873.600, 386.420
16/12/2020 11:30:53.936308, 5009873.500, 386.420
16/12/2020 11:30:54.935415, 5009873.400, 386.420
16/12/2020 11:30:55.935830, 5009873.300, 386.430
16/12/2020 11:30:56.935494, 5009873.200, 386.430
16/12/2020 11:30:57.935106, 5009873.100, 386.430
16/12/2020 11:30:58.939215, 5009873.100, 386.430
16/12/2020 11:30:59.935546, 5009873.000, 386.430
16/12/2020 11:31:00.935457, 5009873.000, 386.430
16/12/2020 11:31:01.935280, 5009872.900, 386.430
16/12/2020 11:31:02.936268, 5009872.900, 386.430
16/12/2020 11:31:03.934681, 5009872.800, 386.430
16/12/2020 11:31:04.935145, 5009872.800, 386.430
16/12/2020 11:31:05.935522, 5009872.700, 386.440
16/12/2020 11:31:06.935984, 5009872.500, 386.430
16/12/2020 11:31:07.934574, 5009872.500, 386.420
16/12/2020 11:31:08.934841, 5009872.400, 386.420
16/12/2020 11:31:09.935299, 5009872.400, 386.440
16/12/2020 11:31:10.937661, 5009872.200, 386.450
16/12/2020 11:31:11.935242, 5009872.100, 386.450
16/12/2020 11:31:12.935441, 5009872.200, 386.450
16/12/2020 11:31:13.935277, 5009872.000, 386.450
16/12/2020 11:31:14.935111, 5009872.000, 386.460
16/12/2020 11:31:15.935422, 5009871.900, 386.460
16/12/2020 11:31:16.934670, 5009871.900, 386.450
16/12/2020 11:31:17.935979, 5009871.800, 386.460
16/12/2020 11:31:18.936447, 5009871.800, 386.470
16/12/2020 11:31:19.934673, 5009871.600, 386.470
16/12/2020 11:31:20.934868, 5009871.600, 386.460
16/12/2020 11:31:21.934348, 5009871.500, 386.460
16/12/2020 11:31:22.935475, 5009871.400, 386.470
16/12/2020 11:31:23.935543, 5009871.300, 386.460
16/12/2020 11:31:24.934967, 5009871.300, 386.460
16/12/2020 11:31:25.934881, 5009871.100, 386.460
16/12/2020 11:31:26.934833, 5009871.000, 386.460
16/12/2020 11:31:27.935963, 5009871.000, 386.460
16/12/2020 11:31:28.935410, 5009870.900, 386.460
16/12/2020 11:31:29.935077, 5009870.900, 386.460
16/12/2020 11:31:30.936664, 5009870.800, 386.460
16/12/2020 11:31:31.937103, 5009870.700, 386.450
16/12/2020 11:31:32.934773, 5009870.600, 386.460
16/12/2020 11:31:33.934555, 5009870.500, 386.450
16/12/2020 11:31:34.984294, 5009870.400, 386.460
16/12/2020 11:31:36.683810, 5009870.300, 386.460
16/12/2020 11:31:36.935632, 5009870.300, 386.460
16/12/2020 11:31:37.934393, 5009870.100, 386.460
16/12/2020 11:31:38.934442, 5009870.000, 386.470
16/12/2020 11:31:39.934251, 5009869.900, 386.480
16/12/2020 11:31:40.934727, 5009869.900, 386.490
16/12/2020 11:31:41.934795, 5009869.800, 386.490
16/12/2020 11:31:42.935648, 5009869.600, 386.490
16/12/2020 11:31:43.935000, 5009869.400, 386.500
16/12/2020 11:31:44.933816, 5009869.300, 386.500
16/12/2020 11:31:45.934002, 5009869.300, 386.500
16/12/2020 11:31:46.934109, 5009869.100, 386.500
16/12/2020 11:31:47.934344, 5009869.000, 386.500
16/12/2020 11:31:48.935329, 5009868.900, 386.510
16/12/2020 11:31:49.934453, 5009868.900, 386.520
16/12/2020 11:31:51.193490, 5009868.800, 386.520
16/12/2020 11:31:51.934981, 5009868.600, 386.520
16/12/2020 11:31:52.934491, 5009868.400, 386.530
16/12/2020 11:31:53.936088, 5009868.300, 386.570
16/12/2020 11:31:54.934761, 5009868.100, 386.580
16/12/2020 11:31:56.366568, 5009868.000, 386.590
16/12/2020 11:31:57.554418, 5009868.000, 386.580
16/12/2020 11:31:58.934327, 5009867.800, 386.590
16/12/2020 11:31:59.933703, 5009867.500, 386.590
16/12/2020 11:32:00.934360, 5009867.400, 386.580
16/12/2020 11:32:01.934740, 5009867.400, 386.580
16/12/2020 11:32:02.934127, 5009867.100, 386.590
16/12/2020 11:32:03.934347, 5009867.100, 386.590
16/12/2020 11:32:04.933815, 5009867.000, 386.600
16/12/2020 11:32:05.934663, 5009866.900, 386.600
16/12/2020 11:32:06.935731, 5009866.700, 386.610
16/12/2020 11:32:07.934648, 5009866.600, 386.610
16/12/2020 11:32:08.934683, 5009866.400, 386.620
16/12/2020 11:32:09.934060, 5009866.300, 386.620
16/12/2020 11:32:10.933760, 5009866.300, 386.620
16/12/2020 11:32:11.935219, 5009866.100, 386.630
16/12/2020 11:32:12.935233, 5009866.000, 386.620
16/12/2020 11:32:13.934397, 5009865.900, 386.620
16/12/2020 11:32:14.933709, 5009865.800, 386.630
16/12/2020 11:32:15.934261, 5009865.600, 386.630
16/12/2020 11:32:16.934701, 5009865.500, 386.630
16/12/2020 11:32:17.933433, 5009865.400, 386.630
16/12/2020 11:32:18.934344, 5009865.200, 386.630
16/12/2020 11:32:19.933835, 5009865.100, 386.620
16/12/2020 11:32:20.934665, 5009865.000, 386.620
16/12/2020 11:32:21.933841, 5009865.000, 386.620
16/12/2020 11:32:22.933878, 5009864.800, 386.620
16/12/2020 11:32:23.934276, 5009864.700, 386.620
16/12/2020 11:32:24.933973, 5009864.600, 386.620
16/12/2020 11:32:25.933558, 5009864.500, 386.620
16/12/2020 11:32:26.935792, 5009864.300, 386.620
16/12/2020 11:32:27.933843, 5009864.200, 386.620
16/12/2020 11:32:28.938284, 5009864.100, 386.620
16/12/2020 11:32:30.372920, 5009864.000, 386.620
16/12/2020 11:32:31.973730, 5009863.800, 386.620
16/12/2020 11:32:33.252643, 5009863.600, 386.620
16/12/2020 11:32:34.516351, 5009863.600, 386.620
16/12/2020 11:32:35.986179, 5009863.300, 386.620
16/12/2020 11:32:37.408691, 5009863.200, 386.620
16/12/2020 11:32:39.669190, 5009863.000, 386.620
16/12/2020 11:32:41.358801, 5009862.800, 386.620
16/12/2020 11:32:43.199590, 5009862.600, 386.630
16/12/2020 11:32:44.622208, 5009862.500, 386.630
16/12/2020 11:32:45.933096, 5009862.400, 386.630
16/12/2020 11:32:46.933795, 5009862.200, 386.630
16/12/2020 11:32:48.415430, 5009862.200, 386.630
16/12/2020 11:32:48.934861, 5009862.000, 386.630
16/12/2020 11:32:49.935653, 5009862.000, 386.630
16/12/2020 11:32:50.933629, 5009862.000, 386.630
16/12/2020 11:32:51.933602, 5009861.900, 386.640
16/12/2020 11:32:52.933117, 5009861.800, 386.640
16/12/2020 11:32:53.933199, 5009861.700, 386.640
16/12/2020 11:32:54.933426, 5009861.600, 386.640
16/12/2020 11:32:55.933229, 5009861.600, 386.640
16/12/2020 11:32:56.933066, 5009861.400, 386.640
16/12/2020 11:32:57.935334, 5009861.300, 386.640
16/12/2020 11:32:59.173101, 5009861.100, 386.640
16/12/2020 11:33:00.354452, 5009861.000, 386.650
16/12/2020 11:33:01.485719, 5009861.000, 386.650
16/12/2020 11:33:02.935095, 5009860.900, 386.660
16/12/2020 11:33:04.159570, 5009860.800, 386.660
16/12/2020 11:33:05.179761, 5009860.700, 386.660
16/12/2020 11:33:06.120197, 5009860.600, 386.660
16/12/2020 11:33:07.343700, 5009860.600, 386.660
16/12/2020 11:33:08.293689, 5009860.400, 386.660
16/12/2020 11:33:09.510196, 5009860.300, 386.660
16/12/2020 11:33:10.933531, 5009860.300, 386.660
16/12/2020 11:33:11.988283, 5009860.100, 386.660
16/12/2020 11:33:13.199258, 5009860.000, 386.660
16/12/2020 11:33:14.440018, 5009860.000, 386.660
16/12/2020 11:33:15.413002, 5009859.900, 386.660
16/12/2020 11:33:16.593889, 5009859.800, 386.660
16/12/2020 11:33:17.944933, 5009859.800, 386.660
16/12/2020 11:33:18.933893, 5009859.600, 386.660
16/12/2020 11:33:19.933203, 5009859.600, 386.660
16/12/2020 11:33:20.933194, 5009859.500, 386.660
16/12/2020 11:33:21.933334, 5009859.400, 386.660
16/12/2020 11:33:22.933661, 5009859.300, 386.660
16/12/2020 11:33:23.933708, 5009859.400, 386.670
16/12/2020 11:33:24.932827, 5009859.200, 386.670
16/12/2020 11:33:25.933588, 5009859.100, 386.670
16/12/2020 11:33:26.933761, 5009859.100, 386.670
16/12/2020 11:33:27.933559, 5009859.000, 386.670
16/12/2020 11:33:29.401200, 5009858.900, 386.670
16/12/2020 11:33:30.264457, 5009858.900, 386.670
16/12/2020 11:33:31.456900, 5009858.800, 386.670
16/12/2020 11:33:32.207476, 5009858.800, 386.670
16/12/2020 11:33:33.222139, 5009858.700, 386.670
16/12/2020 11:33:33.933850, 5009858.700, 386.670
16/12/2020 11:33:34.933443, 5009858.600, 386.670
16/12/2020 11:33:35.933896, 5009858.500, 386.680
16/12/2020 11:33:36.934305, 5009858.400, 386.680
16/12/2020 11:33:37.942925, 5009858.400, 386.680
16/12/2020 11:33:39.643980, 5009858.300, 386.680
16/12/2020 11:33:39.933703, 5009858.300, 386.680
16/12/2020 11:33:40.958875, 5009858.300, 386.680
16/12/2020 11:33:41.933978, 5009858.100, 386.690
16/12/2020 11:33:42.932689, 5009858.100, 386.680
16/12/2020 11:33:43.933101, 5009858.100, 386.680
16/12/2020 11:33:44.934706, 5009858.000, 386.680
16/12/2020 11:33:45.932876, 5009858.000, 386.680
16/12/2020 11:33:46.932956, 5009857.900, 386.680
16/12/2020 11:33:47.934845, 5009857.800, 386.680
16/12/2020 11:33:48.932975, 5009857.800, 386.680
16/12/2020 11:33:49.932599, 5009857.800, 386.690
16/12/2020 11:33:50.933040, 5009857.700, 386.680
16/12/2020 11:33:51.932049, 5009857.700, 386.680
16/12/2020 11:33:52.933059, 5009857.700, 386.670
16/12/2020 11:33:53.933925, 5009857.600, 386.630
16/12/2020 11:33:55.335270, 5009857.600, 386.620
16/12/2020 11:33:55.996495, 5009857.500, 386.620
16/12/2020 11:33:57.375058, 5009857.400, 386.620
16/12/2020 11:33:58.449584, 5009857.400, 386.620
16/12/2020 11:33:59.262299, 5009857.300, 386.620
16/12/2020 11:34:00.728173, 5009857.300, 386.620
16/12/2020 11:34:01.933726, 5009857.300, 386.620
16/12/2020 11:34:02.932903, 5009857.200, 386.620
16/12/2020 11:34:04.274765, 5009857.100, 386.620
16/12/2020 11:34:05.453215, 5009857.100, 386.620
16/12/2020 11:34:06.573320, 5009857.000, 386.620
16/12/2020 11:34:07.487028, 5009857.000, 386.620
16/12/2020 11:34:08.349428, 5009857.000, 386.620
16/12/2020 11:34:09.737130, 5009856.900, 386.620
16/12/2020 11:34:11.129713, 5009856.900, 386.620
16/12/2020 11:34:12.704262, 5009856.800, 386.620
16/12/2020 11:34:14.121063, 5009856.800, 386.620
16/12/2020 11:34:15.459124, 5009856.700, 386.620
16/12/2020 11:34:16.816647, 5009856.600, 386.620
16/12/2020 11:34:17.936327, 5009856.600, 386.620
